episode,return,length,epsilon,act0,act1,act2,act3
1,0.4981,4,0.9995,1,2,1,0
2,0.0921,1,0.9994,0,0,1,0
3,1.1011,2,0.9992,0,1,1,0
4,2.1319,1,0.9991,0,0,1,0
5,5.2757,3,0.9987,0,3,0,0
6,13.7089,10,0.9975,3,2,4,1
7,4.2607,5,0.9969,1,2,2,0
8,0.1585,1,0.9968,0,0,1,0
9,17.076,9,0.9957,3,2,4,0
10,25.6286,17,0.9937,4,3,5,5
11,5.1327,1,0.9936,1,0,0,0
12,0.0313,3,0.9932,3,0,0,0
13,499.6205,254,0.9631,64,69,55,66
14,3.9481,1,0.963,1,0,0,0
15,65.2773,11,0.9616,2,4,4,1
16,45.3125,8,0.9607,3,2,2,1
17,9.5889,2,0.9605,0,1,0,1
18,48.2906,20,0.9581,5,7,4,4
19,7.1856,2,0.9578,1,1,0,0
20,73.1928,10,0.9567,1,1,5,3
21,13.4644,4,0.9562,2,1,1,0
22,15.7886,2,0.9559,0,1,0,1
23,2.7452,1,0.9558,1,0,0,0
24,9.3386,3,0.9555,1,0,1,1
25,13.8191,1,0.9554,1,0,0,0
26,31.7256,19,0.9531,4,8,3,4
27,16.9993,5,0.9525,0,3,1,1
28,0.0488,2,0.9523,1,0,1,0
29,128.7398,106,0.9397,29,29,23,25
30,109.0658,44,0.9345,15,10,11,8
31,5.4485,1,0.9343,0,0,1,0
32,69.2287,31,0.9307,9,6,10,6
33,3.1256,1,0.9305,0,1,0,0
34,1.7197,2,0.9303,1,1,0,0
35,0.3999,1,0.9302,0,0,0,1
36,0.22,1,0.9301,0,0,1,0
37,10.489,2,0.9298,0,1,1,0
38,0.0589,1,0.9297,0,0,1,0
39,57.5115,5,0.9291,1,1,1,2
40,3.0196,4,0.9286,0,1,1,2
41,1.0866,2,0.9284,0,1,1,0
42,3.1585,1,0.9283,0,0,0,1
43,0.9474,1,0.9282,0,0,0,1
44,15.3977,7,0.9273,0,0,2,5
45,0.0622,1,0.9272,0,1,0,0
46,11.7916,9,0.9261,1,1,4,3
47,146.929,6,0.9254,1,1,2,2
48,11.8472,3,0.9251,0,1,1,1
49,0.3788,1,0.925,0,0,0,1
50,13.5986,14,0.9233,3,7,3,1
51,3.8739,3,0.9229,2,0,1,0
52,31.0076,2,0.9227,1,0,1,0
53,3.0164,3,0.9223,1,1,0,1
54,6.0099,9,0.9213,3,2,1,3
55,26.1194,16,0.9194,6,6,4,0
56,12.7345,2,0.9191,1,1,0,0
57,1.8423,1,0.919,1,0,0,0
58,10.6085,5,0.9184,0,1,0,4
59,10.718,4,0.9179,0,3,0,1
60,0.6631,1,0.9178,0,0,1,0
61,2.9983,1,0.9177,0,1,0,0
62,0.6905,9,0.9166,3,4,0,2
63,0.1419,1,0.9165,0,0,1,0
64,9.3125,2,0.9163,0,1,1,0
65,7.3701,1,0.9162,0,0,0,1
66,1.2859,2,0.9159,0,1,0,1
67,4.7378,1,0.9158,1,0,0,0
68,13.1866,4,0.9153,2,2,0,0
69,11.8423,2,0.9151,1,0,1,0
70,24.1708,8,0.9141,0,2,3,3
71,3.1585,1,0.914,0,0,0,1
72,9.0021,1,0.9139,0,1,0,0
73,10.8443,3,0.9136,0,0,0,3
74,4.4794,3,0.9132,1,0,1,1
75,0.5496,3,0.9128,1,1,0,1
76,7.2516,1,0.9127,0,1,0,0
77,3.9742,2,0.9125,0,1,0,1
